WYBÓR 	WYBÓRC 	WYBÓRD 	Identyfikator 	Indeks 	Asortyment 	Cena brutto 	jm 	Cena jednostki 	Cena opakowania 	PUSTY0 	Ident. 	S_Indeks 	S_Identyfikator 	S_Asortyment 	S_Cena brutto 	PUSTY1 
93	2.0081900000000537	12.016669999999369	D£.PENTEL K437 RÓ¯OWY	072512244470	BIUROWE	2,5	szt			=	20947	72512244470	D£.PENTEL K437 RÓ¯OWY	BIUROWE	2,5	
94	2.0082000000000537	12.016679999999369	D£.PENTEL K437 NIEBIESKI	072512244388	BIUROWE	2,5	szt			=	20151	72512244388	D£.PENTEL K437 NIEBIESKI	BIUROWE	2,5	
95	2.008210000000054	12.016689999999368	D£.PENTEL K437 FIOLET	072512244531	BIUROWE	2,5	szt			=	28607	72512244531	D£.PENTEL K437 FIOLET	BIUROWE	2,5	
96	2.008220000000054	12.016699999999368	D£.PENTEL K437 CZERWONY	072512244357	BIUROWE	2,5	szt			=	17076	72512244357	D£.PENTEL K437 CZERWONY	BIUROWE	2,5	
97	2.008230000000054	12.016709999999367	D£.PENTEL K437 CZARNY	072512244326	BIUROWE	2,5	szt			=	13394	72512244326	D£.PENTEL K437 CZARNY	BIUROWE	2,5	
98	2.008240000000054	12.016719999999367	D£.PENTEL K437 B£ÊKITNY	072512244500	BIUROWE	2,5	szt			=	13943	72512244500	D£.PENTEL K437 B£ÊKITNY	BIUROWE	2,5	
99	2.0083000000000544	12.016779999999365	D£.PENTEL BK417	072512199190	BIUROWE	1,3	szt			=	14837	72512199190	D£.PENTEL BK417	BIUROWE	1,3	
100	2.0088900000000582	12.017369999999342	D£. TODAYS POLO	5901688171615	BIUROWE	0,6	szt			stara cena 0.65	18317	5901688171615	D£. TODAYS POLO	BIUROWE	0,65	
101	2.0089000000000583	12.017379999999342	D£. TODAYS JETBALL	5901688171646	BIUROWE	1,99	szt			stara cena 2.20	23513	5901688171646	D£. TODAYS JETBALL	BIUROWE	2,2	
102	2.0098700000000647	12.018349999999305	D£. 4-KOL.BIC	070330101760	SZKOLNE	5,3	szt			=	11466	70330101760	D£. 4-KOL.BIC	SZKOLNE	5,3	
103	2.011160000000073	12.019639999999256	DYSKIETKI VERBATIM 3,5 2HD KOLOR	023942452157	KOMPUTER	15,99	10sz	cena 1.60z³/szt		=	11599	23942452157	DYSKIETKI VERBATIM 3,5 2HD KOLOR	KOMPUTER	15,99	
104	2.011170000000073	12.019649999999256	DYSKIETKI TDK 3,5"/10SZT 1,44MB	020356403409	KOMPUTER	14,5	op	cena 1.45z³/szt		=	21789	20356403409	DYSKIETKI TDK 3,5"/10SZT 1,44MB	KOMPUTER	14,5	
105	2.0112600000000738	12.019739999999253	DVD-RW VERBATIM SLIM KOLOR	023942437642	KOMPUTER	3,2	szt			=	13036	23942437642	DVD-RW VERBATIM SLIM KOLOR	KOMPUTER	3,2	
106	2.011290000000074	12.019769999999252	DVD-RW 10SZ MINI VERBATIM 1,4GB CAK	023942435730	KOMPUTER	32,0	op	cena 3.20z³/szt		=	12640	23942435730	DVD-RW 10SZ MINI VERBATIM 1,4GB CAK	KOMPUTER	32,0	
107	2.0113900000000746	12.019869999999248	DVD-R  50SZT VERBATIM SZPINDEL	023942437888	KOMPUTER	47,0	op	cena 0.94z³/szt		=	17597	23942437888	DVD-R  50SZT VERBATIM SZPINDEL	KOMPUTER	47,0	
108	2.0114000000000747	12.019879999999247	DVD-R  50SZT SONY SZPINDEL	027242852273	KOMPUTER	48,0	op	cena 0.96z³/szt		=	18133	27242852273	DVD-R  50SZT SONY SZPINDEL	KOMPUTER	48,0	
109	2.011460000000075	12.019939999999245	DVD-R  10SZT VERBATIM CAKE	023942435235	KOMPUTER	11,99	op	cena 1.20z³/szt		=	18762	23942435235	DVD-R  10SZT VERBATIM CAKE	KOMPUTER	11,99	
